,pT_{#mu}(GeV),#eta_{#mu},#phi_{#mu},Energy_{#mu}(GeV),Mass_{#mu}(GeV),#Delta{R}_{#mu#mu},#Delta{#eta}_{#mu#mu},#Delta{#phi}_{#mu#mu},#Delta{pT}_{#mu#mu}(GeV),#Delta{#vec{pT}}_{#mu#mu}(GeV),#Delta{#vec{p}}_{#mu#mu}(GeV)
0,39.7264289855957,0.1205641701817512,1.2317590713500977,40.01564449065373,0.10565837549941551,1.9038643570656486,0.8479677960276604,1.704596757888794,-11.534151077270511,51.68952948923574,58.30608862986653
0,88.43704986572266,0.6568915843963623,0.8438293337821962,108.21374634407599,0.10565837549403559,2.745422481730386,0.15779662132263217,2.7408839503871363,-15.59649658203125,158.08190124426267,158.1267417197227
0,58.5451889038086,0.09059959650039667,2.633425235748291,58.78572611022331,0.10565837550264347,1.55516905264992,0.27117449045181274,1.531344238911764,-0.3003349304199219,80.93832333304378,82.54809758077772
0,84.19335174560547,0.5716346502304077,0.4440474510192871,98.3278587439452,0.10565837550264347,3.1606750820078546,-2.5162516832351676,1.91267991065979,-20.325119018554688,121.54534166071375,295.6172606413926
0,114.59574127197266,-0.8828462958335876,-0.3982617259025574,162.23182786961905,0.10565837550264347,1.084534995716524,-0.40376323461532615,-1.0065740942955017,-64.4133529663086,97.46791499443354,102.25552045938362
0,86.71294403076172,-2.024719715118408,-2.824718713760376,334.10579722868465,0.10565837548542771,3.261080014998642,1.1596540212631226,3.0479247719049454,-38.034141540527344,135.2550099026468,306.54668535771015
0,134.6877899169922,1.9632238149642944,-1.817311406135559,489.09555176338165,0.10565837548542771,0.881896462082037,-0.027441143989563432,0.881469428539276,-103.38763046264648,117.29414566371824,382.42824434026437
0,43.97319793701172,-2.1316800117492676,-0.34588107466697693,187.93386112686377,0.10565837548542771,1.0666873021573287,1.0637105703353882,0.07963430881500244,-23.18857955932617,23.313154836219024,157.78457576175296
0,59.61673736572265,-0.5821109414100647,-3.0867526531219482,70.00593784960935,0.10565837549403559,2.1296640024792874,-0.9423498511314394,1.9098286628723145,-14.5622329711914,85.85252790996182,105.81630555318873
0,99.8448257446289,-1.0855053663253784,-0.40884184837341314,164.67744294833994,0.10565837548542771,3.100176353146997,-0.822018504142761,-2.9892104307757776,-50.49218368530274,148.81426322982557,152.13428481364022
