,pT_{Z}(GeV),#eta_{Z},#phi_{Z},Energy_{Z}(GeV),Mass_{Z}(GeV)
0,45.5431655509042,0.7351608191225891,1.8922320754460407,82.49751653392167,58.254290380553364
0,35.55036543064491,1.9966633627263362,1.769845550064513,206.59402966699676,157.82082912808661
0,84.19615271711451,0.31367625041711705,-2.8865600225925494,120.88398081559704,82.48187815078634
0,86.96018157899798,-1.4121853432696083,1.208230089796212,326.14574263166,265.7478933729413
0,147.65133786764198,-1.1062213127779155,-0.6895563029428129,260.0046464749538,79.380553310339
0,38.51757060051214,-2.958824028135756,-2.706236534362267,402.16337243643363,152.28019739305273
0,156.47071566974128,2.014968482782462,-1.6623271644353983,599.8007715325384,55.42709966475255
0,64.71307292510339,-1.8904081694780517,-0.32032828085246734,221.74198906933296,33.78276740378745
0,61.62362316685056,-1.5275100515852549,-2.325945751880726,178.3711944538555,98.6189527442632
0,51.610658509524406,-2.439015541734211,-0.5545085271880182,334.56988605625713,152.045023081529
0,119.47683471861582,-1.9372220164162381,-2.555076487745558,638.2451683628992,477.7995840087722
0,65.12379800699311,0.029469722687903918,-0.6610963528924665,133.60537783831518,116.64306066449865
0,7.299095151226418,2.3652867987134347,2.782975196366276,71.63627835978254,59.95939214457704
0,90.12206531593438,-0.04891013382942234,2.454844183895175,133.56395655485588,98.47791077012054
0,48.03060665546969,-0.6769920588210023,-2.268224110620064,82.1291872782381,56.650001920960264
0,61.2774061652859,0.3613996226082765,2.1857686755822585,202.79833961077975,191.98981779803577
0,143.78665997916147,-0.04460991624343839,1.1288776077597031,208.3420319015767,150.6340863997628
0,226.9409311330207,-0.17215674426349242,-1.6352170785511442,344.96830973759353,256.8256020459569
0,78.08533973074049,1.2701335360171873,-0.06013189814680086,182.82818432709195,104.51857309554939
0,42.54603398035981,-0.24550816132743425,0.7116291510599838,156.94612038663615,150.70037674515
0,107.50982664738802,-1.385390981199235,-2.966282107831502,283.2717887590635,167.72836642548208
0,47.80138602117981,1.5094925154750647,-0.404820496141426,151.837508732403,100.9485131786381
0,49.83161510709145,1.7291509239525997,2.15829506061311,151.16703522794597,43.26601201835533
0,76.31710440201883,-0.17724960319166988,2.7746126625635057,112.18162473325341,81.08950397144127
0,26.591532374769148,-0.7441590197554331,-1.195092894113292,107.70775001669534,102.10013094680315
0,49.56739758875511,-1.4501373690941282,-2.7843907589400683,147.9681430615973,97.29396768041266
0,65.11352775395156,1.9120234380246979,-2.065105593203339,279.2556670371993,165.24776601006457
0,199.09249634610725,0.9365316308049791,-1.4355891691045206,304.16223447081234,81.73373292353725
0,97.59702893009258,2.13968424450309,-1.6836748393222918,424.1735865550737,56.660916932003786
0,166.93729226637717,1.0741546914749305,-0.9464454658233793,291.2001227592421,101.68951380327408
0,46.47929008343272,-1.5694805406737575,-0.09834230000029756,137.20616107429782,72.50491640884071
0,82.14886561006486,-1.556819934566634,1.2993401403995042,286.40789020767664,201.53313986615743
0,54.60582933741915,-1.8526779313855435,1.3221778849184738,194.93157811803388,78.5860133911914
0,85.36982374341291,-0.8154236151184383,-3.082664199811885,148.74014753764874,93.89247045125852
0,101.62861303770566,1.9899397119264708,2.2929085587040787,418.0560464533541,177.16963082416592
0,61.06452853213338,-2.888388018167189,-0.41682156383347907,558.9305562553902,98.4529888951632
0,56.331025180566996,-1.632697479148445,1.1466789132193163,280.7025539554369,237.48738452423527
0,54.374116457231246,0.41500864108162466,1.74319852856409,92.78954881192037,71.5138436887413
0,78.80011069437168,1.1784430846588783,-0.5317685704700839,162.85550455114543,82.9472980804271
0,65.46618412551211,-2.349629732758513,1.5056867122049333,366.19949777580126,119.30269059364394
0,16.423572869742163,-0.36117325412148893,-2.93953505033886,363.97228488180934,363.5510251525546
0,185.71543105039433,-0.9562275285990216,1.3816381011378303,280.6385535419498,43.21080766720201
0,81.83666942578077,0.2272822009723671,0.014013213483441575,96.49885690143296,47.56921205959721
0,133.575710468053,-1.2006436338281492,-1.874576121368416,249.73583808836437,61.71795122033711
0,75.71564631366252,0.79409128337718,-1.5501305018993665,109.7627226509942,43.281185390601706
0,38.03111865579691,-1.1220074992571822,2.834461333737415,86.73291366405442,57.88662890493015
0,53.92565742500496,0.7412188555803428,-0.7748250982380657,79.57288341130487,38.875786285418656
0,53.74911888078879,1.189936084623547,1.5849091332799548,124.03375750478779,77.91200222637629
0,58.51356041968782,-0.9522573419060003,2.1436417822564384,94.31143649567294,36.14599107267089
0,77.60921753632144,0.7109623558700661,-1.7950050211033954,141.1311220003292,101.49609646420744
0,45.682124041392036,-2.738872857761539,0.05399849844442171,368.1029233553717,98.00257879666222
0,39.813512496215935,-0.5443913240230143,-1.1150619346585715,67.91432029746699,50.09182530253359
0,29.139443664247764,0.2395550186553904,-2.0548716697449994,125.71602820582527,122.08909013489856
0,84.84255145407113,-0.472760625077456,1.796312713237538,110.12498721604916,56.5414544512546
0,6.287329795017462,-3.271326339064248,1.0275877248695433,114.99130549606909,79.64569514279565
0,52.87366608158575,3.1618803852343036,0.8991525783531614,674.0025142038317,251.24473263268746
0,52.49780692621244,2.172675471978747,-0.3715375270201581,267.4490309384802,130.40936154267592
0,37.71121826007282,-0.40054795263126886,-1.4720701302781996,64.12345247882477,49.48787069758637
0,28.63573564554355,-0.14707621301902543,-0.6865595811011154,71.39938727007977,65.26868318458742
0,53.97103222906169,1.2090138846114589,-3.0360433561702815,201.0074516464605,175.24090492418978
0,84.60155066753624,2.2569279946762606,2.580726858303284,518.1397271624778,318.66981202178283
0,111.03405248464095,-1.1594580657988325,-1.3554600282907532,279.6597349752757,201.03030975556956
0,15.689678632285753,2.1387049790601407,-2.317559050979471,92.55724584874159,63.31367304741829
0,154.98485768561812,1.2796911459080655,-2.6771238114512252,362.80724369244115,203.76906407244968
0,7.147450517842426,3.0265508117983058,-2.6651270497322104,157.95947138810348,139.61457868776688
0,58.71426193739804,-1.8158451351094833,-0.35434660313630345,221.18682626438266,120.91184591761495
0,164.34714328693326,1.1624616139594384,-1.7584510472768586,305.2174730136461,99.70991581743307
0,70.49118379682062,0.375423174897208,-2.471425650573192,78.45561938873404,21.269820950177387
0,86.28869925668492,-0.7511583360163314,-3.0650239663196106,152.3229981559278,103.45686721556744
0,51.65204785586845,-2.435264128089988,-0.06474497553081532,328.44506822028615,139.89013016524027
0,155.31606722293833,-0.7643717322579153,-1.964783731960475,220.94037293092998,87.346437675812
0,101.31300054430099,0.4630746108322531,-0.38371862952434443,117.90211705612349,35.687877279375066
0,57.532002525014455,2.583420643225523,0.5355715510606801,393.22139140165814,88.6337880484512
0,63.08252264359124,0.9946990881590068,-1.9913569987010065,158.97342623356946,125.98922902153924
0,12.57102585758081,-2.9952760108702603,-2.9410654922555857,156.37179824976226,92.65187583411273
0,103.7990672262834,-0.11104778458698211,0.6283154656063575,184.61928753410365,152.23870770311825
0,66.09332881346194,-0.5806077467067199,-3.098389490555779,164.77984824859738,145.3904805296452
0,41.086171304486705,-1.6948800594383482,-1.6653542982855312,149.62873165871622,94.94165361998135
0,93.5607302600509,-0.428061091491497,-0.686225518673331,137.55550536492527,91.99746459097518
0,47.15899729730438,-0.031444503719676595,-2.0422557178681204,77.90354881588624,61.99025891760877
0,35.10207926146704,-1.6336421744260523,0.45008787293075486,196.43227572281083,172.84352311533777
0,52.66010638785542,-1.9396689769331215,-2.5004524526140393,195.41123112612604,56.88374160243977
0,77.80731864095002,0.7290756888080758,-2.8564759656038596,105.6886251124368,35.86010020528973
0,55.10985134611533,-1.551708482183469,-0.9234704489886959,136.41824144695843,12.053460780387736
0,39.27130231724168,2.544862186115431,-2.4437210158135874,261.23867048227174,69.84672914761666
0,60.50226095471955,-1.2544092273427228,0.7552516864603075,146.6687535997066,91.43127423071135
0,143.22585735926427,0.03002259314272927,-2.986233161559522,168.65823195757463,88.9576153826798
0,57.6965890615791,-0.5527327612784304,-1.7498877138642295,128.64203520801212,109.9771353606696
0,120.24652006223185,0.7657141611890038,2.1948738360822193,280.0163965917137,231.69004282760116
0,37.50326049733934,0.9679651034195567,-2.095863675381265,105.08277942064453,88.60860085057281
0,61.445817069432806,1.273360702929397,-1.4539680330004603,131.28764306896534,56.79514376307003
0,78.6107606921991,-1.4070228177831494,-1.0847786241667263,235.0470651633761,162.17200402182482
0,22.149504600144088,-0.28890687323977715,-1.7782206526106519,91.71779425167338,88.76627809788533
0,82.09057784950933,1.859412944963054,2.341901435331907,307.97018926538,148.31766953937026
0,98.11339776754112,-2.7352128970782505,2.6808151271719467,845.2977204116845,371.4828096684701
0,42.921703481802545,-1.5873372915932202,2.2255586543572643,174.85079429077078,136.4406933358292
0,204.11850797014026,0.012264056326432468,0.10610529562453219,230.85257065651996,107.80666562488898
0,37.1439388759037,-1.9888601794180998,-2.717854084490194,186.47969321231267,125.14559954217941
0,45.5211522543751,-1.993791728209664,-0.04072586346821274,174.66462508027666,39.07458720764704
0,38.845455250859345,2.4214480248148833,-1.7401238749789623,297.7349559074996,200.10167453692213
0,60.900444714077324,-0.9713100285792114,0.6830714999363621,198.55135525679646,175.97192854399745
0,121.57089158551103,0.9014852647127876,1.3023536120074983,175.88397278680122,22.744740511941355
0,98.61277603986628,1.5036496649102509,-1.1355114330883829,264.9612155632889,126.62529984110394
0,23.847755400014282,-2.1813168646929153,2.732395661117258,131.59204741476952,76.64492307607495
0,63.5162306936514,-0.8413823427998729,0.5110419894413223,150.77171502509583,122.88587153800952
0,43.836217233459365,0.946678580613818,2.20231645691829,135.09694681167412,118.43725973216128
0,12.53693719918701,-4.185815203885843,-1.1603717405413303,425.5964172439162,105.8286614057906
0,33.282995462047936,2.6624818225257942,-2.8422378746300487,378.6010436767572,293.0868701073497
0,176.17411442012013,-1.2350997223400257,1.683053728660388,366.1621068574087,161.70120031324817
0,16.49338132391147,-4.0052504506236275,-2.7521693466652613,464.1722799196568,102.23063687268892
0,59.5461368407439,0.43341815282952956,0.2998748771354153,105.65756539668246,83.12003439070574
0,45.8401121794702,0.998687688510947,1.2202831736159212,98.85003179026765,69.1221948243869
0,11.152838945421339,2.2179089745201837,-2.479314786804511,121.67437778306814,110.07676670460151
0,74.51710852927586,0.710899938512048,-1.8872195337748805,105.66567037016264,47.96242159868924
0,123.2105943747336,1.4956360588545778,-1.5332014497814308,311.2824905337559,116.40142976540736
0,24.212415207519967,-2.3393856869377685,1.468016560652071,148.25635533566935,76.87684069387805
0,57.71185176577122,-0.3475350677571753,1.6880405988394667,80.26449418365172,51.89405889363717
0,32.60699732849841,2.609026534365051,-0.7816818793307907,250.05974458768733,113.73732817715133
0,19.828541712319122,-0.0006195162142322366,-2.9413272008339413,128.87078217881822,127.33619784666112
0,16.13848499789367,-3.9278919670125525,-2.9545644710889176,419.7132922349608,89.43209301346614
0,88.11778438156936,2.3249421172283706,0.48085527319314836,481.5140826210774,157.9856645520579
0,33.90872560367584,0.22912211215734468,-2.042868116863665,79.61294947126436,71.60303974721589
0,88.89660824633651,0.1233848737451176,2.5758194415964666,200.23753160788198,179.08529372545047
